,,price,area,Price_sqft,price^2,x.y,x2.y,
337,,5500000,1200,4583.333333,3.025E+13,6600000000,25208333333,
338,,20000000,3250,6153.846154,4E+14,65000000000,1.23077E+11,
339,,10000000,1850,5405.405405,1E+14,18500000000,54054054054,
340,,6500000,1350,4814.814815,4.225E+13,8775000000,31296296296,
341,,13600000,2150,6325.581395,1.8496E+14,29240000000,86027906977,
342,,14900000,1650,9030.30303,2.2201E+14,24585000000,1.34552E+11,
343,,10500000,1650,6363.636364,1.1025E+14,17325000000,66818181818,
344,,11000000,1215,9053.497942,1.21E+14,13365000000,99588477366,
345,,30500000,2700,11296.2963,9.3025E+14,82350000000,3.44537E+11,
346,,8500000,1345,6319.702602,7.225E+13,11432500000,53717472119,
347,,24000000,3050,7868.852459,5.76E+14,73200000000,1.88852E+11,
348,,7600000,1600,4750,5.776E+13,12160000000,36100000000,
349,,45000000,4064,11072.83465,2.025E+15,1.8288E+11,4.98278E+11,
350,,6500000,1100,5909.090909,4.225E+13,7150000000,38409090909,
351,,10500000,1100,9545.454545,1.1025E+14,11550000000,1.00227E+11,
352,,30000000,4500,6666.666667,9E+14,1.35E+11,2E+11,
353,,15000000,2160,6944.444444,2.25E+14,32400000000,1.04167E+11,
354,,3000000,785,3821.656051,9E+12,2355000000,11464968153,
355,,10500000,2600,4038.461538,1.1025E+14,27300000000,42403846154,
356,,16500000,2465,6693.711968,2.7225E+14,40672500000,1.10446E+11,
357,,5700000,1661,3431.66767,3.249E+13,9467700000,19560505719,
358,,5600000,1655,3383.685801,3.136E+13,9268000000,18948640483,
359,,2300000,585,3931.623932,5.29E+12,1345500000,9042735043,
360,,15500000,1600,9687.5,2.4025E+14,24800000000,1.50156E+11,
361,,7000000,1133,6178.287732,4.9E+13,7931000000,43248014122,
362,,3150000,1050,3000,9.9225E+12,3307500000,9450000000,
363,,10000000,1650,6060.606061,1E+14,16500000000,60606060606,
364,,3400000,720,4722.222222,1.156E+13,2448000000,16055555556,
365,,35200000,2985,11792.29481,1.23904E+15,1.05072E+11,4.15089E+11,
366,,5000000,1350,3703.703704,2.5E+13,6750000000,18518518519,
367,,3200000,835,3832.335329,1.024E+13,2672000000,12263473054,
368,,9800000,1839,5328.983143,9.604E+13,18022200000,52224034802,
369,,4880000,1180,4135.59322,2.38144E+13,5758400000,20181694915,
370,,3200000,650,4923.076923,1.024E+13,2080000000,15753846154,
371,,5300000,1175,4510.638298,2.809E+13,6227500000,23906382979,
372,,5250000,1100,4772.727273,2.75625E+13,5775000000,25056818182,
373,,5500000,1400,3928.571429,3.025E+13,7700000000,21607142857,
374,,5000000,1000,5000,2.5E+13,5000000000,25000000000,
375,,24400000,2000,12200,5.9536E+14,48800000000,2.9768E+11,
376,,4300000,880,4886.363636,1.849E+13,3784000000,21011363636,
377,,3500000,700,5000,1.225E+13,2450000000,17500000000,
378,,12500000,2000,6250,1.5625E+14,25000000000,78125000000,
379,,17000000,1500,11333.33333,2.89E+14,25500000000,1.92667E+11,
380,,2650000,540,4907.407407,7.0225E+12,1431000000,13004629630,
381,,8000000,1093,7319.304666,6.4E+13,8744000000,58554437328,
382,,4000000,1100,3636.363636,1.6E+13,4400000000,14545454545,
383,,2500000,600,4166.666667,6.25E+12,1500000000,10416666667,
384,,25000000,2700,9259.259259,6.25E+14,67500000000,2.31481E+11,
385,,11000000,1000,11000,1.21E+14,11000000000,1.21E+11,
386,,11400000,1400,8142.857143,1.2996E+14,15960000000,92828571429,
387,,5500000,1146,4799.30192,3.025E+13,6303000000,26396160558,
388,,10600000,1730,6127.16763,1.1236E+14,18338000000,64947976879,
389,,11000000,1500,7333.333333,1.21E+14,16500000000,80666666667,
390,,7350000,1435,5121.95122,5.40225E+13,10547250000,37646341463,
391,,5000000,1395,3584.229391,2.5E+13,6975000000,17921146953,
392,,3800000,887,4284.10372,1.444E+13,3370600000,16279594138,
393,,5000000,1290,3875.968992,2.5E+13,6450000000,19379844961,
394,,6500000,862,7540.603248,4.225E+13,5603000000,49013921114,
395,,3100000,1075,2883.72093,9.61E+12,3332500000,8939534884,
396,,9000000,1660,5421.686747,8.1E+13,14940000000,48795180723,
397,,11000000,2000,5500,1.21E+14,22000000000,60500000000,
398,,15000000,1350,11111.11111,2.25E+14,20250000000,1.66667E+11,
399,,13500000,1850,7297.297297,1.8225E+14,24975000000,98513513514,
400,,24000000,2000,12000,5.76E+14,48000000000,2.88E+11,
401,,6000000,1150,5217.391304,3.6E+13,6900000000,31304347826,
402,,37500000,2800,13392.85714,1.40625E+15,1.05E+11,5.02232E+11,
403,,5950000,1330,4473.684211,3.54025E+13,7913500000,26618421053,
404,,5140000,1360,3779.411765,2.64196E+13,6990400000,19426176471,
405,,9000000,1600,5625,8.1E+13,14400000000,50625000000,
